,gene_id,SNPs,selected_hets,ratio
0,AGAP010310,9,8,0.8888888888888888
1,AGAP010311,9,1,0.1111111111111111
2,AGAP010312,7,5,0.7142857142857143
3,AGAP010313,75,73,0.9733333333333334
4,AGAP010314,8,7,0.875
5,AGAP010317,15,12,0.8
6,AGAP010318,3,0,0.0
7,AGAP010319,7,6,0.8571428571428571
8,AGAP010320,4,4,1.0
9,AGAP010321,7,5,0.7142857142857143
10,AGAP010322,6,4,0.6666666666666666
11,AGAP010323,4,0,0.0
12,AGAP010324,7,4,0.5714285714285714
13,AGAP010326,5,0,0.0
14,AGAP010327,12,4,0.3333333333333333
15,AGAP010328,8,0,0.0
16,AGAP010329,0,0,
17,AGAP010330,9,0,0.0
18,AGAP010331,13,13,1.0
19,AGAP010332,18,15,0.8333333333333334
20,AGAP010334,39,0,0.0
21,AGAP010335,91,0,0.0
22,AGAP010336,9,6,0.6666666666666666
23,AGAP010337,6,6,1.0
24,AGAP010338,13,5,0.38461538461538464
25,AGAP010339,14,13,0.9285714285714286
26,AGAP010340,10,0,0.0
27,AGAP010341,0,0,
28,AGAP010342,29,28,0.9655172413793104
29,AGAP010343,12,11,0.9166666666666666
30,AGAP010344,20,11,0.55
31,AGAP010345,33,30,0.9090909090909091
32,AGAP010346,12,12,1.0
33,AGAP010347,7,6,0.8571428571428571
34,AGAP010348,15,11,0.7333333333333333
35,AGAP010349,3,0,0.0
36,AGAP010350,6,0,0.0
37,AGAP010351,11,11,1.0
38,AGAP010352,5,5,1.0
39,AGAP010353,10,10,1.0
40,AGAP010354,0,0,
41,AGAP010355,3,0,0.0
42,AGAP010358,3,0,0.0
43,AGAP010359,1,0,0.0
44,AGAP010360,4,0,0.0
45,AGAP010362,2,0,0.0
46,AGAP010363,4,3,0.75
47,AGAP010364,0,0,
48,AGAP010365,3,0,0.0
49,AGAP010366,4,0,0.0
50,AGAP010368,5,5,1.0
51,AGAP010369,2,0,0.0
52,AGAP010370,7,0,0.0
53,AGAP010371,8,0,0.0
54,AGAP010372,1,0,0.0
55,AGAP010373,10,10,1.0
56,AGAP010376,3,3,1.0
57,AGAP010377,3,0,0.0
58,AGAP010378,4,4,1.0
59,AGAP010379,47,26,0.5531914893617021
60,AGAP010380,17,17,1.0
61,AGAP010381,10,0,0.0
62,AGAP010382,28,26,0.9285714285714286
63,AGAP010383,3,0,0.0
64,AGAP010384,13,0,0.0
65,AGAP010385,2,0,0.0
66,AGAP010386,2,2,1.0
67,AGAP010387,16,7,0.4375
68,AGAP010388,41,18,0.43902439024390244
69,AGAP010389,17,17,1.0
70,AGAP010390,33,0,0.0
71,AGAP010391,37,0,0.0
72,AGAP010392,9,9,1.0
73,AGAP010393,33,32,0.9696969696969697
74,AGAP010394,23,0,0.0
75,AGAP010395,6,0,0.0
76,AGAP010396,8,8,1.0
77,AGAP010397,15,9,0.6
78,AGAP010398,1,0,0.0
79,AGAP010399,10,0,0.0
80,AGAP010400,11,1,0.09090909090909091
81,AGAP010401,9,9,1.0
82,AGAP010402,62,53,0.8548387096774194
83,AGAP010403,18,13,0.7222222222222222
84,AGAP010404,8,4,0.5
85,AGAP010405,10,9,0.9
86,AGAP010406,14,13,0.9285714285714286
87,AGAP010407,6,5,0.8333333333333334
88,AGAP010408,2,0,0.0
89,AGAP010409,0,0,
90,AGAP010410,55,46,0.8363636363636363
91,AGAP010411,5,0,0.0
92,AGAP010412,1,0,0.0
93,AGAP010413,30,27,0.9
94,AGAP010414,14,12,0.8571428571428571
