,gene_id,SNPs,selected_hets,ratio
0,AGAP000002,69,59,0.855072463768116
1,AGAP000005,25,21,0.84
2,AGAP000007,145,113,0.7793103448275862
3,AGAP000008,93,40,0.43010752688172044
4,AGAP000009,119,9,0.07563025210084033
5,AGAP000010,87,37,0.42528735632183906
6,AGAP000011,82,42,0.5121951219512195
7,AGAP000012,48,30,0.625
8,AGAP000013,76,26,0.34210526315789475
9,AGAP000014,69,0,0.0
10,AGAP000015,308,4,0.012987012987012988
11,AGAP000016,67,0,0.0
12,AGAP000017,364,162,0.44505494505494503
13,AGAP000018,336,72,0.21428571428571427
14,AGAP000019,87,0,0.0
15,AGAP000021,29,4,0.13793103448275862
16,AGAP000022,58,36,0.6206896551724138
17,AGAP000023,23,0,0.0
18,AGAP000025,179,104,0.5810055865921788
19,AGAP000028,40,19,0.475
20,AGAP000029,335,192,0.573134328358209
21,AGAP000032,104,0,0.0
22,AGAP000033,150,51,0.34
23,AGAP000035,231,153,0.6623376623376623
24,AGAP000037,321,0,0.0
25,AGAP000038,76,0,0.0
26,AGAP000039,83,0,0.0
27,AGAP000040,66,0,0.0
28,AGAP000041,82,0,0.0
29,AGAP000042,244,63,0.2581967213114754
30,AGAP000043,123,27,0.21951219512195122
31,AGAP000044,25,17,0.68
32,AGAP000045,109,0,0.0
33,AGAP000046,82,0,0.0
34,AGAP000047,20,0,0.0
35,AGAP000048,164,82,0.5
36,AGAP000049,66,27,0.4090909090909091
37,AGAP000051,75,0,0.0
38,AGAP000053,32,22,0.6875
39,AGAP000056,27,0,0.0
40,AGAP000057,13,0,0.0
41,AGAP000058,128,0,0.0
42,AGAP000061,24,0,0.0
43,AGAP000062,49,4,0.08163265306122448
44,AGAP000063,32,0,0.0
45,AGAP000064,46,41,0.8913043478260869
46,AGAP000065,101,43,0.42574257425742573
47,AGAP000066,41,0,0.0
48,AGAP000067,38,0,0.0
49,AGAP000068,56,0,0.0
50,AGAP000069,4,0,0.0
51,AGAP000070,93,24,0.25806451612903225
52,AGAP000071,65,0,0.0
53,AGAP000072,33,0,0.0
54,AGAP000073,87,0,0.0
55,AGAP000074,38,0,0.0
56,AGAP000075,52,0,0.0
57,AGAP000076,92,53,0.5760869565217391
58,AGAP000078,81,11,0.13580246913580246
59,AGAP000079,23,0,0.0
60,AGAP000080,39,0,0.0
61,AGAP000081,84,31,0.36904761904761907
62,AGAP000082,47,24,0.5106382978723404
63,AGAP000085,17,0,0.0
64,AGAP000088,64,0,0.0
65,AGAP000090,227,67,0.29515418502202645
66,AGAP000091,20,0,0.0
67,AGAP000092,26,3,0.11538461538461539
68,AGAP000093,44,23,0.5227272727272727
69,AGAP000094,33,0,0.0
70,AGAP000095,40,36,0.9
71,AGAP000096,38,6,0.15789473684210525
72,AGAP000097,33,17,0.5151515151515151
73,AGAP000098,46,35,0.7608695652173914
74,AGAP000099,100,16,0.16
75,AGAP000100,4,0,0.0
76,AGAP000102,77,20,0.2597402597402597
77,AGAP000104,25,0,0.0
78,AGAP000105,124,29,0.23387096774193547
79,AGAP000106,39,23,0.5897435897435898
80,AGAP000107,45,0,0.0
81,AGAP000108,17,0,0.0
82,AGAP000109,12,6,0.5
83,AGAP000110,20,6,0.3
84,AGAP000111,66,0,0.0
85,AGAP000112,53,24,0.4528301886792453
86,AGAP000113,63,0,0.0
87,AGAP000114,135,29,0.21481481481481482
88,AGAP000115,19,0,0.0
89,AGAP000116,62,27,0.43548387096774194
