,gene_id,SNPs,selected_hets,ratio
0,AGAP000586,0,0,
1,AGAP001096,0,0,
2,AGAP001097,0,0,
3,AGAP001098,0,0,
4,AGAP001099,0,0,
5,AGAP001100,0,0,
6,AGAP001101,0,0,
7,AGAP001102,0,0,
8,AGAP001103,0,0,
9,AGAP001104,2,0,0.0
10,AGAP001105,0,0,
11,AGAP001106,2,0,0.0
12,AGAP001107,4,0,0.0
13,AGAP001108,2,0,0.0
14,AGAP001109,5,0,0.0
15,AGAP001110,0,0,
16,AGAP001111,3,0,0.0
17,AGAP001112,0,0,
18,AGAP001113,12,0,0.0
19,AGAP001114,1,0,0.0
20,AGAP001115,4,0,0.0
21,AGAP001116,1,0,0.0
22,AGAP001117,22,0,0.0
23,AGAP001118,15,0,0.0
24,AGAP001119,2,0,0.0
25,AGAP001120,3,0,0.0
26,AGAP001121,2,0,0.0
27,AGAP001122,4,0,0.0
28,AGAP001123,3,0,0.0
29,AGAP001124,2,0,0.0
30,AGAP001125,3,0,0.0
31,AGAP001126,0,0,
32,AGAP001127,4,0,0.0
33,AGAP001129,0,0,
34,AGAP001130,13,0,0.0
35,AGAP001132,15,0,0.0
36,AGAP001133,26,0,0.0
37,AGAP001134,7,0,0.0
38,AGAP001135,15,0,0.0
39,AGAP001136,8,0,0.0
40,AGAP001137,7,0,0.0
41,AGAP001138,1,0,0.0
42,AGAP001139,9,0,0.0
43,AGAP001140,23,0,0.0
44,AGAP001141,15,0,0.0
45,AGAP001143,4,0,0.0
46,AGAP001144,5,0,0.0
47,AGAP001145,6,0,0.0
48,AGAP001146,16,0,0.0
49,AGAP001147,6,0,0.0
50,AGAP001148,16,0,0.0
51,AGAP001149,1,0,0.0
52,AGAP001150,11,0,0.0
53,AGAP001151,2,0,0.0
54,AGAP001152,5,0,0.0
55,AGAP001153,1,0,0.0
56,AGAP001154,7,0,0.0
57,AGAP001156,26,0,0.0
58,AGAP001157,62,0,0.0
59,AGAP001158,11,0,0.0
60,AGAP001159,10,0,0.0
61,AGAP001160,27,0,0.0
62,AGAP001161,4,0,0.0
63,AGAP001162,11,0,0.0
64,AGAP001165,33,0,0.0
65,AGAP001166,13,0,0.0
66,AGAP001167,3,0,0.0
67,AGAP001168,28,0,0.0
68,AGAP001169,5,0,0.0
69,AGAP001170,4,0,0.0
70,AGAP001171,2,0,0.0
71,AGAP001172,5,0,0.0
72,AGAP001173,6,0,0.0
73,AGAP001174,1,0,0.0
74,AGAP001175,0,0,
75,AGAP001176,0,0,
76,AGAP001177,3,0,0.0
77,AGAP001179,0,0,
78,AGAP001181,2,0,0.0
79,AGAP001182,1,0,0.0
80,AGAP001183,2,0,0.0
81,AGAP001184,1,0,0.0
82,AGAP001185,3,0,0.0
83,AGAP001187,13,0,0.0
84,AGAP001189,0,0,
85,AGAP001190,3,0,0.0
86,AGAP001191,0,0,
87,AGAP001192,0,0,
88,AGAP001193,1,0,0.0
89,AGAP001194,8,0,0.0
90,AGAP001195,5,0,0.0
91,AGAP001196,3,0,0.0
92,AGAP001197,1,0,0.0
93,AGAP001198,1,0,0.0
94,AGAP001199,3,0,0.0
95,AGAP001200,0,0,
96,AGAP001201,10,0,0.0
97,AGAP001202,1,0,0.0
98,AGAP001203,0,0,
99,AGAP001205,2,0,0.0
100,AGAP001206,0,0,
101,AGAP001207,1,0,0.0
102,AGAP001208,8,0,0.0
103,AGAP001209,13,0,0.0
104,AGAP001211,2,0,0.0
105,AGAP001212,0,0,
106,AGAP001213,10,0,0.0
107,AGAP001214,0,0,
108,AGAP001215,11,0,0.0
109,AGAP001217,5,0,0.0
110,AGAP001218,0,0,
111,AGAP001219,0,0,
112,AGAP001220,11,0,0.0
113,AGAP001222,7,0,0.0
114,AGAP001223,11,0,0.0
115,AGAP001224,2,0,0.0
116,AGAP001225,7,0,0.0
117,AGAP001226,1,0,0.0
118,AGAP001227,9,0,0.0
119,AGAP001228,0,0,
120,AGAP001229,6,0,0.0
121,AGAP001230,2,0,0.0
122,AGAP001231,3,0,0.0
123,AGAP001232,1,0,0.0
124,AGAP001233,4,0,0.0
125,AGAP001234,7,0,0.0
126,AGAP001235,2,0,0.0
127,AGAP001236,3,0,0.0
128,AGAP001237,2,0,0.0
129,AGAP001238,5,0,0.0
130,AGAP001239,18,0,0.0
131,AGAP001240,10,0,0.0
132,AGAP001241,8,0,0.0
133,AGAP001242,5,0,0.0
134,AGAP001243,3,0,0.0
135,AGAP001244,2,0,0.0
136,AGAP001245,4,0,0.0
137,AGAP001246,0,0,
138,AGAP001247,1,0,0.0
139,AGAP001248,0,0,
140,AGAP001249,0,0,
141,AGAP001250,1,0,0.0
142,AGAP001251,0,0,
143,AGAP001252,2,0,0.0
144,AGAP001253,3,0,0.0
145,AGAP001255,11,0,0.0
146,AGAP001256,4,0,0.0
147,AGAP001257,2,0,0.0
148,AGAP001258,11,0,0.0
149,AGAP001259,5,0,0.0
150,AGAP001261,6,0,0.0
151,AGAP001264,2,0,0.0
152,AGAP001265,5,0,0.0
153,AGAP001267,0,0,
154,AGAP001268,0,0,
155,AGAP001269,0,0,
156,AGAP001270,0,0,
157,AGAP001271,0,0,
158,AGAP001272,0,0,
159,AGAP001273,0,0,
160,AGAP001274,0,0,
161,AGAP001275,0,0,
162,AGAP001276,0,0,
163,AGAP001277,0,0,
164,AGAP001278,0,0,
165,AGAP001279,0,0,
166,AGAP001281,0,0,
167,AGAP001283,0,0,
168,AGAP001284,0,0,
169,AGAP001285,0,0,
170,AGAP001286,0,0,
171,AGAP001287,0,0,
172,AGAP001290,0,0,
173,AGAP001291,0,0,
174,AGAP001292,0,0,
175,AGAP001293,0,0,
176,AGAP001294,0,0,
177,AGAP001296,0,0,
178,AGAP001297,0,0,
179,AGAP001298,0,0,
180,AGAP001299,0,0,
181,AGAP001300,0,0,
182,AGAP001301,0,0,
183,AGAP001302,0,0,
184,AGAP001303,0,0,
185,AGAP001306,0,0,
186,AGAP001307,1,0,0.0
187,AGAP001308,3,0,0.0
188,AGAP001309,1,0,0.0
189,AGAP001310,0,0,
190,AGAP001311,1,0,0.0
191,AGAP001312,7,0,0.0
192,AGAP001313,11,0,0.0
193,AGAP001314,4,0,0.0
194,AGAP001315,2,0,0.0
195,AGAP001316,0,0,
196,AGAP001318,5,0,0.0
197,AGAP001319,0,0,
198,AGAP001320,2,0,0.0
199,AGAP001321,0,0,
200,AGAP001322,10,0,0.0
201,AGAP001323,4,0,0.0
202,AGAP001324,4,0,0.0
203,AGAP001325,1,0,0.0
204,AGAP001326,0,0,
205,AGAP001328,10,0,0.0
206,AGAP001329,2,0,0.0
207,AGAP001330,4,0,0.0
208,AGAP001331,0,0,
209,AGAP001332,1,0,0.0
210,AGAP001333,4,0,0.0
211,AGAP001334,8,0,0.0
212,AGAP001335,0,0,
213,AGAP001336,3,0,0.0
214,AGAP001337,11,0,0.0
215,AGAP001338,21,0,0.0
216,AGAP001339,5,0,0.0
217,AGAP001340,12,0,0.0
218,AGAP001341,7,0,0.0
219,AGAP001342,2,0,0.0
220,AGAP001343,12,0,0.0
221,AGAP001344,12,0,0.0
222,AGAP001345,4,0,0.0
223,AGAP001346,5,0,0.0
224,AGAP001347,3,0,0.0
225,AGAP001348,7,0,0.0
226,AGAP001349,13,0,0.0
227,AGAP001352,9,0,0.0
228,AGAP001353,6,0,0.0
229,AGAP001354,7,0,0.0
230,AGAP001355,1,0,0.0
231,AGAP001356,13,0,0.0
232,AGAP001357,7,0,0.0
233,AGAP001358,23,0,0.0
234,AGAP001360,12,0,0.0
235,AGAP001361,8,0,0.0
236,AGAP001362,14,0,0.0
237,AGAP001363,6,0,0.0
238,AGAP001364,2,0,0.0
239,AGAP001365,5,0,0.0
240,AGAP001366,12,0,0.0
241,AGAP001367,6,0,0.0
242,AGAP001368,6,0,0.0
243,AGAP001369,17,0,0.0
244,AGAP001370,8,0,0.0
245,AGAP001371,6,0,0.0
246,AGAP001372,2,0,0.0
247,AGAP001373,12,0,0.0
248,AGAP001374,0,0,
249,AGAP001375,4,0,0.0
250,AGAP001376,4,0,0.0
251,AGAP001377,4,0,0.0
252,AGAP001379,6,0,0.0
253,AGAP001380,3,0,0.0
254,AGAP001381,6,0,0.0
255,AGAP001382,0,0,
256,AGAP001384,0,0,
257,AGAP001386,20,0,0.0
258,AGAP001387,1,0,0.0
259,AGAP001388,2,0,0.0
260,AGAP001389,4,0,0.0
261,AGAP001390,3,0,0.0
262,AGAP001391,8,0,0.0
263,AGAP001392,6,0,0.0
264,AGAP001393,1,0,0.0
265,AGAP001394,1,0,0.0
266,AGAP001395,9,0,0.0
267,AGAP001396,11,0,0.0
268,AGAP001397,11,0,0.0
269,AGAP001398,8,0,0.0
270,AGAP001399,8,0,0.0
271,AGAP001400,1,0,0.0
272,AGAP001401,3,0,0.0
273,AGAP001402,5,0,0.0
274,AGAP001403,3,0,0.0
275,AGAP001404,10,0,0.0
276,AGAP001405,5,0,0.0
277,AGAP001406,4,0,0.0
278,AGAP001407,2,0,0.0
279,AGAP001408,1,0,0.0
280,AGAP001409,9,0,0.0
281,AGAP001410,8,0,0.0
282,AGAP001411,3,0,0.0
283,AGAP001412,5,0,0.0
284,AGAP001413,0,0,
285,AGAP001414,0,0,
286,AGAP001415,0,0,
287,AGAP001416,0,0,
288,AGAP001417,0,0,
289,AGAP001418,0,0,
290,AGAP001419,0,0,
291,AGAP001420,0,0,
292,AGAP001421,0,0,
293,AGAP001422,0,0,
294,AGAP001423,0,0,
295,AGAP001424,0,0,
296,AGAP001425,0,0,
297,AGAP001426,0,0,
298,AGAP001427,0,0,
299,AGAP001428,0,0,
300,AGAP001429,0,0,
301,AGAP001430,0,0,
302,AGAP001432,0,0,
303,AGAP001433,1,0,0.0
304,AGAP001434,0,0,
